,amount,city,date,ppg,price,quality,state,state.name
442,28.3,Wailuku,2012-05-17,6.36,180,medium,HI,Hawaii
443,28.3,Hilo,2012-05-12,1.06,30,high,HI,Hawaii
444,14.15,Honolulu,2012-05-09,14.13,200,medium,HI,Hawaii
445,10.0,Kailua Kona,2012-05-08,20.0,200,medium,HI,Hawaii
446,28.3,Honolulu,2012-05-08,8.83,250,high,HI,Hawaii
447,3.54,Ewa Beach,2012-05-03,16.95,60,high,HI,Hawaii
448,28.3,Honolulu,2012-05-01,9.72,275,high,HI,Hawaii
449,28.3,Fort Shafter,2012-04-27,0.35,10,medium,HI,Hawaii
450,3.54,Honolulu,2012-04-26,12.71,45,medium,HI,Hawaii
451,3.54,Honolulu,2012-04-26,15.54,55,high,HI,Hawaii
452,3.54,Lihue,2012-04-22,16.95,60,high,HI,Hawaii
453,28.3,Honolulu,2012-04-21,10.6,300,high,HI,Hawaii
454,3.54,Kapolei,2012-04-19,16.95,60,medium,HI,Hawaii
455,7.075,Honolulu,2012-04-18,12.72,90,medium,HI,Hawaii
456,28.3,Kailua Kona,2012-04-14,3.53,100,medium,HI,Hawaii
457,3.54,Honolulu,2012-04-13,14.12,50,medium,HI,Hawaii
458,28.3,Ewa Beach,2012-04-09,0.71,20,medium,HI,Hawaii
459,3.54,Kaneohe,2012-04-08,5.65,20,medium,HI,Hawaii
460,28.3,Honolulu,2012-04-06,10.6,300,high,HI,Hawaii
461,28.3,Honolulu,2012-04-05,24.73,700,high,HI,Hawaii
462,14.15,Honolulu,2012-04-04,14.84,210,high,HI,Hawaii
463,5.0,Aiea,2012-04-02,3.0,15,medium,HI,Hawaii
464,3.54,Kapolei,2012-04-01,14.12,50,medium,HI,Hawaii
465,28.3,Waianae,2012-03-31,13.25,375,high,HI,Hawaii
466,3.54,Honolulu,2012-03-30,14.12,50,high,HI,Hawaii
467,5.0,Kilauea,2012-03-30,4.0,20,high,HI,Hawaii
468,3.54,Honolulu,2012-03-30,14.12,50,medium,HI,Hawaii
469,5.0,Kamuela,2012-03-27,4.0,20,medium,HI,Hawaii
470,5.0,Honolulu,2012-03-27,10.0,50,medium,HI,Hawaii
471,28.3,Honolulu,2012-03-26,9.72,275,medium,HI,Hawaii
472,3.54,Wahiawa,2012-03-26,14.12,50,medium,HI,Hawaii
473,28.3,Honolulu,2012-03-24,7.07,200,medium,HI,Hawaii
474,5.0,Kamuela,2012-03-23,10.0,50,high,HI,Hawaii
475,14.15,Honolulu,2012-03-21,9.89,140,high,HI,Hawaii
476,28.3,Honolulu,2012-03-21,14.13,400,high,HI,Hawaii
477,7.075,Pearl City,2012-03-19,16.96,120,high,HI,Hawaii
478,28.3,Kailua Kona,2012-03-16,7.07,200,medium,HI,Hawaii
479,28.3,Kailua Kona,2012-02-26,8.48,240,medium,HI,Hawaii
480,7.075,Koloa,2012-02-15,14.13,100,high,HI,Hawaii
481,3.54,Kailua,2012-02-14,14.12,50,high,HI,Hawaii
482,28.3,Wahiawa,2012-02-09,0.71,20,medium,HI,Hawaii
483,14.15,Honolulu,2012-02-01,5.65,80,high,HI,Hawaii
484,3.54,Honolulu,2012-01-29,11.3,40,high,HI,Hawaii
485,28.3,Honolulu,2012-01-25,4.95,140,low,HI,Hawaii
